blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations,value_raw,date,hour,prev_ts,inter_tx_seconds,suspicious_score,suspicious_reasons
10832207,2020-09-10 05:47:36+00:00,0x1e8a4e0eb6e7b2e7252320782905ff8e170bd6d5efd6849c053790a4bf518bed,1501,0x532d9a056cd1ed50f30dcf2b81fd9d42e4e83ca3e053200ffa45dd855fd41019,0xbe23cbb62064b8b1550ae5ada59c39d45b1e2081,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x966a707d9787fd5be0c38900f393f0ff86a0ac1b,24504345227591.027,SHIBA INU,SHIB,18,131,200000,150000000000,122505,10095055,deprecated,0xa694fc3a,stake(uint256 countryID),12522395,2.4504345227591027e+31,2020-09-10 00:00:00+00:00,5,2020-09-10 05:41:20+00:00,376.0,0.65,"large_transfer,sender_high_rate"
10779456,2020-09-02 03:43:19+00:00,0x4725423cf812d59fa876bb4d2bcf578cafd958890b4763e0412ec1ecb092c03a,3729,0xe6e3dae5428e36ff9273164e3e7a08da83bbca6fd227bdf5ad7213435fae1a22,0x811beed0119b4afce20d2583eb608c6f7af1954f,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x494cc492c9f01699bff1449180201dbfbd592ea5,20102456372500.29,SHIBA INU,SHIB,18,43,350000,489600000001,75284,3980643,deprecated,0x771685ed,,12575146,2.010245637250029e+31,2020-09-02 00:00:00+00:00,3,2020-09-02 03:43:19+00:00,0.0,0.65,"large_transfer,burst_timing"
10790601,2020-09-03 20:54:17+00:00,0xbbcb9df818fd9c002bfb254adc1f3984cfb6a4885f8d54e949ccdf2f357b91ea,26,0x05500b3da863a1ad2a1e52d632f5a74e695a455eec668e86e1c34dc57cd0edb8,0x6a5a64914be4bbd99931a1b95b01b2f4938087a5,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x966a707d9787fd5be0c38900f393f0ff86a0ac1b,28064748312300.027,SHIBA INU,SHIB,18,103,196434,175000000000,130956,11575374,deprecated,0xa694fc3a,stake(uint256 countryID),12564001,2.806474831230003e+31,2020-09-03 00:00:00+00:00,20,2020-09-03 20:42:51+00:00,686.0,0.5,large_transfer
10805477,2020-09-06 03:22:19+00:00,0x3b33fae731b17a7dbd141b3cd1017ac55e22cc4a4e0381133f894fe7f01cc84d,30,0x398add0b6319579d739042df4e4d7e3a5443348908c1a2e63717f06dd30c9e84,0x966a707d9787fd5be0c38900f393f0ff86a0ac1b,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x6a5a64914be4bbd99931a1b95b01b2f4938087a5,28064748312300.027,SHIBA INU,SHIB,18,50,167002,111000000000,111335,10000683,deprecated,0x2e1a7d4d,withdraw(uint256 amount),12549125,2.806474831230003e+31,2020-09-06 00:00:00+00:00,3,2020-09-06 03:04:40+00:00,1059.0,0.5,large_transfer
10838171,2020-09-11 03:36:34+00:00,0x0f9fe6778e6ee9820ad8a893e75f80529255b5c23857a179a46735ba4a8afd0d,1507,0x766f93359b655694a432b112001d9b2cea3b58e380262fdeedf6bd476e5622df,0x966a707d9787fd5be0c38900f393f0ff86a0ac1b,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xbe23cbb62064b8b1550ae5ada59c39d45b1e2081,24504345227591.027,SHIBA INU,SHIB,18,206,200000,148000000000,64484,11584776,deprecated,0x2e1a7d4d,withdraw(uint256 amount),12516431,2.4504345227591027e+31,2020-09-11 00:00:00+00:00,3,2020-09-11 02:25:44+00:00,4250.0,0.5,large_transfer
10806438,2020-09-06 06:55:12+00:00,0x37164f5091b10bb9c207d4a79a87ea9dd22e6d487af63a823971012ad8058c56,18,0x74ebe516c2fdd8d6c03d9e9c6b0c0a021a9fd9c78f8ff94b38b262d7be75c556,0x811beed0119b4afce20d2583eb608c6f7af1954f,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x1406899696adb2fa7a95ea68e80d4f9c82fcdedd,24256546086219.266,SHIBA INU,SHIB,18,57,148591,119000000000,109748,5292464,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12548164,2.4256546086219265e+31,2020-09-06 00:00:00+00:00,6,2020-09-06 04:53:36+00:00,7296.0,0.5,large_transfer
10707408,2020-08-22 02:30:53+00:00,0x2629689c6d7a65f476111383d1144a2340326a21ddb2e6d70120e87f2dffcfc7,50,0x949377921e4db84b758ddfce7a99c5b0bc533ac620589582e256933fb45c9b3d,0x6429042146d7b3a8590ed836804bfab49a2da1f6,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x811beed0119b4afce20d2583eb608c6f7af1954f,20616769994282.344,SHIBA INU,SHIB,18,38,168395,160000000000,112805,2586364,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12647194,2.0616769994282344e+31,2020-08-22 00:00:00+00:00,2,2020-08-22 01:46:48+00:00,2645.0,0.5,large_transfer
10779456,2020-09-02 03:43:19+00:00,0x3ad000acba699e910ce0f43a358dc937849394607fc182eeef7173652536e36b,3730,0xe6e3dae5428e36ff9273164e3e7a08da83bbca6fd227bdf5ad7213435fae1a22,0x494cc492c9f01699bff1449180201dbfbd592ea5,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x811beed0119b4afce20d2583eb608c6f7af1954f,20102456372500.29,SHIBA INU,SHIB,18,109,350000,489599999999,99005,11671165,deprecated,0x3f8499cf,,12575146,2.010245637250029e+31,2020-09-02 00:00:00+00:00,3,2020-09-02 03:41:56+00:00,83.0,0.5,large_transfer
10748626,2020-08-28 10:26:13+00:00,0xfb975e0e5a612809a4feabab5c9721ab4415cde95b879efa42a9cae6c262d82e,180,0xbbb0ecb37c82576682d8e8d328c5d588db363c4d8263ba9e81c3a07ad332b0f3,0x811beed0119b4afce20d2583eb608c6f7af1954f,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x3f499fe484a61af03b01ea5c81eab14f67c11a5a,19772099354595.516,SHIBA INU,SHIB,18,50,450000,465176229000,82794,1189777,deprecated,0x94264cbc,,12605976,1.9772099354595517e+31,2020-08-28 00:00:00+00:00,10,2020-08-28 07:14:20+00:00,11513.0,0.5,large_transfer
10748627,2020-08-28 10:26:55+00:00,0xc8997ea8b1e64c34b830c63e527dd9aa71cd5152a09dd7696783222b86b9d985,360,0x75cbe4b2816f094950598c0dc1c1f72832929ef472b67869bacb4432c168b88e,0x3f499fe484a61af03b01ea5c81eab14f67c11a5a,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x811beed0119b4afce20d2583eb608c6f7af1954f,19772099354595.516,SHIBA INU,SHIB,18,153,800000,68200000000,144978,8122403,deprecated,0xdc4420b3,,12605975,1.9772099354595517e+31,2020-08-28 00:00:00+00:00,10,2020-08-28 10:26:13+00:00,42.0,0.5,large_transfer
10790859,2020-09-03 21:48:12+00:00,0x3285f792a3b74734e0d0e858d9f84bf459b4c463979daf148ce21329c8a9b990,121,0x9e09baf3f0a418906a0355a572eaeebad9e1be0a5f158b3a51424ab983d3ec5e,0x4495522aec35095635a86224c07178903884cbfc,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x966a707d9787fd5be0c38900f393f0ff86a0ac1b,19305220678252.0,SHIBA INU,SHIB,18,61,196416,194000000000,130944,3978283,deprecated,0xa694fc3a,stake(uint256 countryID),12563743,1.9305220678252e+31,2020-09-03 00:00:00+00:00,21,2020-09-03 21:41:56+00:00,376.0,0.5,large_transfer
10804044,2020-09-05 22:07:27+00:00,0xaf27cd77b6504158c0f3ab284aa7876d8f10eebbd7a6a4da380dce016780252c,122,0x75bfbcce95bc6962d2813de14534f6203f06e1e4e064126dcf71ba4e15f95a1d,0x966a707d9787fd5be0c38900f393f0ff86a0ac1b,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x4495522aec35095635a86224c07178903884cbfc,19305220678252.0,SHIBA INU,SHIB,18,37,258502,180000000000,138135,1907393,deprecated,0xe9fad8ee,exit(),12550558,1.9305220678252e+31,2020-09-05 00:00:00+00:00,22,2020-09-05 17:49:14+00:00,15493.0,0.5,large_transfer
